
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    [2401:4900:1ce0:6527:fcaa:5e0:6e95:fb6b]:55141  [2606:4700:3033::ac43:b0c4]:443  ESTABLISHED     28504
  TCP    [2401:4900:1ce0:6527:fcaa:5e0:6e95:fb6b]:56200  [2404:6800:4003:c05::bc]:5228  ESTABLISHED     28504
  TCP    [2401:4900:1ce0:6527:fcaa:5e0:6e95:fb6b]:57047  [2606:4700:83b2:7cbc:c2fe:348:5ff2:75c4]:443  ESTABLISHED     28504
  TCP    [2401:4900:1ce0:6527:fcaa:5e0:6e95:fb6b]:57176  [2606:4700:83b2:7cbc:c259:412:5ff2:75c4]:443  TIME_WAIT       0
  TCP    [2401:4900:1ce0:6527:fcaa:5e0:6e95:fb6b]:60834  [2606:4700:83b1:d8b7:9afe:412:ccf5:ac50]:443  ESTABLISHED     28504
  TCP    [2401:4900:1ce0:6527:fcaa:5e0:6e95:fb6b]:60839  [2404:6800:4003:c05::451]:443  ESTABLISHED     680
  TCP    [2401:4900:1ce0:6527:fcaa:5e0:6e95:fb6b]:60843  [2404:6800:4003:c05::451]:443  ESTABLISHED     680
  TCP    [2401:4900:1ce0:6527:fcaa:5e0:6e95:fb6b]:62317  [2606:4700:83b1:c4f:6afd:412:a873:e7f]:443  ESTABLISHED     28504
  TCP    [2401:4900:1ce0:6527:fcaa:5e0:6e95:fb6b]:62619  [2606:4700:3033::ac43:b0c4]:443  TIME_WAIT       0
  TCP    [2401:4900:1ce0:6527:fcaa:5e0:6e95:fb6b]:62627  [2606:4700:83b2:7cbc:c259:412:5ff2:75c4]:443  ESTABLISHED     28504
  TCP    [2401:4900:1ce0:6527:fcaa:5e0:6e95:fb6b]:62775  [2001:4860:4802:38::223]:443  ESTABLISHED     680
  UDP    0.0.0.0:3389           *:*                                    1656
  UDP    0.0.0.0:5050           *:*                                    7004
  UDP    0.0.0.0:5353           *:*                                    22504
  UDP    0.0.0.0:5353           *:*                                    28504
  UDP    0.0.0.0:5353           *:*                                    25052
  UDP    0.0.0.0:5353           *:*                                    1760
  UDP    0.0.0.0:5353           *:*                                    25052
  UDP    0.0.0.0:5353           *:*                                    28504
  UDP    0.0.0.0:5353           *:*                                    22504
  UDP    0.0.0.0:5355           *:*                                    1760
  UDP    0.0.0.0:49664          *:*                                    4064
  UDP    0.0.0.0:49669          0.0.32.4:443                           28504
  UDP    0.0.0.0:50001          *:*                                    3904
  UDP    0.0.0.0:50115          *:*                                    28504
  UDP    0.0.0.0:50190          *:*                                    4064
  UDP    0.0.0.0:52800          0.0.0.94:443                           28504
  UDP    0.0.0.0:52927          *:*                                    1760
  UDP    0.0.0.0:53340          *:*                                    4064
  UDP    0.0.0.0:55908          0.0.32.4:443                           15196
  UDP    0.0.0.0:62485          *:*                                    4064
  UDP    0.0.0.0:63146          *:*                                    4064
  UDP    0.0.0.0:63615          *:*                                    1760
  UDP    0.0.0.0:64838          0.0.32.4:443                           28504
  UDP    0.0.0.0:65445          *:*                                    4064
  UDP    127.0.0.1:1900         *:*                                    6868
  UDP    127.0.0.1:49666        127.0.0.1:49667                        3892
  UDP    127.0.0.1:49667        127.0.0.1:49666                        3892
  UDP    127.0.0.1:49668        127.0.0.1:49668                        4244
  UDP    127.0.0.1:58954        *:*                                    6868
  UDP    192.168.1.7:137        *:*                                    4
  UDP    192.168.1.7:138        *:*                                    4
  UDP    192.168.1.7:1900       *:*                                    6868
  UDP    192.168.1.7:5353       *:*                                    4064
  UDP    192.168.1.7:58953      *:*                                    6868
  UDP    [::]:3389              *:*                                    1656
  UDP    [::]:5353              *:*                                    22504
  UDP    [::]:5353              *:*                                    1760
  UDP    [::]:5353              *:*                                    25052
  UDP    [::]:5353              *:*                                    28504
  UDP    [::]:5355              *:*                                    1760
  UDP    [::]:49665             *:*                                    4064
  UDP    [::]:49669             [2404:6800:4007:82f::2004]:443                  28504
  UDP    [::]:50115             [2600:1901:0:47fc::]:443                  28504
  UDP    [::]:52800             [2a00:1450:4009:c19::5e]:443                  28504
  UDP    [::]:52927             *:*                                    1760
  UDP    [::]:55908             [2404:6800:4007:82f::2004]:443                  15196
  UDP    [::]:63615             *:*                                    1760
  UDP    [::]:64838             [2404:6800:4007:82f::2004]:443                  28504
  UDP    [::1]:1900             *:*                                    6868
  UDP    [::1]:5353             *:*                                    4064
  UDP    [::1]:58952            *:*                                    6868
  UDP    [fe80::7a56:6241:8982:285e%21]:1900  *:*                                    6868
  UDP    [fe80::7a56:6241:8982:285e%21]:58951  *:*                                    6868
